year,V_total,V_emissions,V_climate,V_internal,f_emissions,f_climate,f_internal,mean,p5,p50,p95
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,5.898146840226875e-09,2.5935039685116113e-13,5.8977869043476936e-09,1.0058548233010451e-13,4.397150560618886e-05,0.9999389747510647,1.7053743329020855e-05,0.00019850214322408041,9.40561294555664e-05,0.00018465518951416016,0.0003656148910522461
2032,4.299474090240999e-09,6.71579050740926e-13,4.298353906612905e-09,4.4860457735382967e-13,0.0001562002786027446,0.9997394603143122,0.0001043394070851777,0.0003067985706859165,0.00020492076873779297,0.00029921531677246094,0.0004640817642211914
2033,2.6605004874128545e-09,1.0464378046002746e-12,2.658807648881071e-09,6.464007271831553e-13,0.0003933236658106611,0.9993637142560986,0.00024296207809070298,0.0003552923798561096,0.00026166439056396484,0.00035643577575683594,0.0004749298095703125
2034,2.3425035887824664e-09,1.4596686995894824e-12,2.3403775694209854e-09,6.663506618914882e-13,0.000623123356813364,0.9990924157505406,0.00028446089264598686,0.00037941749228371515,0.00028705596923828125,0.00038564205169677734,0.00046956539154052734
2035,2.428932932869227e-09,1.963271158813394e-12,2.4263748495438145e-09,5.948121665992583e-13,0.0008082854541785308,0.9989468283414517,0.00024488620436984406,0.00039301236470540366,0.00030350685119628906,0.00040602684020996094,0.0004647970199584961
2036,2.5285291694833603e-09,2.586376702754619e-12,2.5253793887082386e-09,5.634040723668515e-13,0.001022877937881602,0.9987543031683651,0.00022281889375314921,0.0004016078048282199,0.0003170967102050781,0.0004165172576904297,0.00047767162322998047
2037,2.572762313068072e-09,3.3590353953592473e-12,2.5688468816570322e-09,5.563960156804473e-13,0.0013056143501082027,0.9984781215928298,0.0002162640570620508,0.0004074885050455729,0.0003279447555541992,0.00042116641998291016,0.00048530101776123047
2038,2.5825032449926733e-09,4.291447903758553e-12,2.5776712788085747e-09,5.405182803399469e-13,0.001661739597841523,0.9981289602661807,0.00020930013597774988,0.0004117138518227471,0.0003361701965332031,0.0004259347915649414,0.00048828125
2039,2.5838834096446482e-09,5.399211874846778e-12,2.577968951126097e-09,5.152466437047453e-13,0.0020895725614761044,0.9977110195852975,0.00019940785322647558,0.0004147947827974955,0.00033843517303466797,0.00042825937271118164,0.0004889965057373047
2040,2.593133180429901e-09,6.6889174122746335e-12,2.5859380139502683e-09,5.062490673582134e-13,0.00257947314960727,0.9972253000601998,0.00019522679019296852,0.00041702237394120956,0.0003374814987182617,0.0004254579544067383,0.0004889965057373047
2041,2.6186874252845073e-09,8.172977045208492e-12,2.6100223047610654e-09,4.921434782334946e-13,0.003121020464792792,0.9966910443607067,0.00018793517450064727,0.00041858434677124025,0.00033664703369140625,0.00042116641998291016,0.0004917442798614497
2042,2.6627435962230133e-09,9.860301370967345e-12,2.652401516876507e-09,4.817779755386354e-13,0.003703060777220066,0.9961160063022305,0.00018093292054932237,0.0004196047716670566,0.00033593177795410156,0.00041675567626953125,0.0004951953887939453
2043,2.7252927146213953e-09,1.1725617880220397e-11,2.713093884226734e-09,4.732125144410362e-13,0.004302516869953674,0.9955238458132538,0.0001736373167925105,0.0004201817512512207,0.0003352165222167969,0.00041234493255615234,0.0004987716674804688
2044,2.804715224701147e-09,1.3796721915818024e-11,2.7904526772837e-09,4.658255016288935e-13,0.0049191168480529485,0.9949147965925964,0.00016608655935061248,0.0004203904668490092,0.0003343820571899414,0.000408172607421875,0.0005018770694732661
2045,2.89865204107108e-09,1.6062627962974316e-11,2.8821278366520367e-09,4.615764560690484e-13,0.005541412951738429,0.9942993487369607,0.000159238311300894,0.00042030145724614463,0.0003336668014526367,0.00040602684020996094,0.0005047321319580078
2046,3.005470438484492e-09,1.8522940672026777e-11,2.986486877167958e-09,4.606206445074627e-13,0.006163075315878657,0.9936836639371152,0.00015326074700629247,0.00041996676392025417,0.00033295154571533203,0.00040459632873535156,0.0005071163177490234
2047,3.1223962993616076e-09,2.1160632387464922e-11,3.1007797880181586e-09,4.55878955984157e-13,0.006777048894078993,0.993076948192685,0.00014600291323601817,0.0004194319513108995,0.00033223628997802734,0.0004029273986816406,0.0005090236663818359
2048,3.2478208536998766e-09,2.400464793523764e-11,3.2233677585593427e-09,4.4844720529605873e-13,0.0073910012333013525,0.9924709224301342,0.00013807633656431306,0.00041873733202616375,0.00033152103424072266,0.0003999471664428711,0.0005102157592773438
2049,3.3796499345663103e-09,2.703844028892378e-11,3.3521727346643825e-09,4.3875961300391023e-13,0.008000367142283171,0.9918698088755001,0.00012982398221673025,0.0004179203510284424,0.00033080577850341797,0.000396728515625,0.00051116943359375
2050,3.516887359698632e-09,3.0226981362522234e-11,3.486236938550817e-09,4.2343978529296983e-13,0.008594810771850377,0.9912847873665076,0.00012040186164201036,0.00041700892315970527,0.0003299713134765625,0.00039505958557128906,0.0005118846893310547
2051,3.6576496678982375e-09,3.354881944284814e-11,3.6236882099723358e-09,4.1263848305351135e-13,0.009172234218408895,0.990714950580432,0.00011281520115911542,0.00041601948605643377,0.0003292560577392578,0.0003943443298339844,0.0005123615264892578
2052,3.800826170563252e-09,3.7036945339831674e-11,3.763388751758331e-09,4.004734650893461e-13,0.00974444599089442,0.9901501891628544,0.00010536484625130834,0.00041497451729244654,0.0003285408020019531,0.0003943443298339844,0.0005126118659973134
2053,3.9450364489549516e-09,4.0649922766138816e-11,3.903996096640039e-09,3.9042954877341315e-13,0.010304067729692857,0.9895969649847508,9.896728555621805e-05,0.000413886739148034,0.00032770633697509766,0.0003949403762817383,0.0005130767822265625
2054,4.089451354010028e-09,4.439379192380901e-11,4.0446762048523616e-09,3.8135723385763773e-13,0.01085568407123303,0.9890510620419141,9.325388685298507e-05,0.00041277519861857096,0.0003268718719482422,0.0003954768180847168,0.0005130767822265625
2055,4.233065746672117e-09,4.82622780673564e-11,4.184427400440496e-09,3.760681642638206e-13,0.011401258793416677,0.9885099005915846,8.884061499859099e-05,0.0004116482072406345,0.00032591819763183594,0.0003960132598876953,0.0005133152008056641
2056,4.375211371735491e-09,5.221580006297557e-11,4.32262681420351e-09,3.687574690047779e-13,0.011934463418224161,0.987981253232316,8.428334945986962e-05,0.00041051354010899864,0.0003243625164031983,0.0003962516784667969,0.0005135536193847656
2057,4.514796943401697e-09,5.62745210949959e-11,4.458159522341478e-09,3.628999652223525e-13,0.01246446336357169,0.9874551565064308,8.038012999736898e-05,0.0004093802372614543,0.00032210350036621094,0.000396728515625,0.0005135536193847656
2058,4.651775636403559e-09,6.047486189015357e-11,4.590941663583113e-09,3.5911093029291745e-13,0.013000382352255637,0.9869224189695703,7.719867817411717e-05,0.00040825583537419636,0.0003199577331542969,0.00039696693420410156,0.0005135536193847656
2059,4.785886963531993e-09,6.478856281644787e-11,4.720744355165467e-09,3.540455500788761e-13,0.013537420191937377,0.986388602810115,7.397699794764685e-05,0.00040714263916015627,0.00031757354736328125,0.00039696693420410156,0.0005135655403137197
2060,4.915841528915937e-09,6.917309109734625e-11,4.846316929169242e-09,3.515086493482359e-13,0.014071464812373763,0.9858570299026652,7.150528496099672e-05,0.00040604861577351887,0.0003151893615722656,0.0003972053527832031,0.0005137920379638672
2061,5.042529622431602e-09,7.36844917164163e-11,4.968493831018034e-09,3.5129969715112697e-13,0.014612604631737245,0.9853177280140862,6.966735417643886e-05,0.0004049731956587897,0.0003129243850708008,0.0003972649574279785,0.0005137920379638672
2062,5.1660670557631415e-09,7.833374677740024e-11,5.08738431513135e-09,3.489938543915973e-13,0.015163130081715253,0.984769314880647,6.755503763782316e-05,0.00040392218695746527,0.00031065940856933594,0.0003974437713623047,0.0005135536193847656
2063,5.285976462653498e-09,8.310153141516602e-11,5.2025308096017956e-09,3.4412163653609264e-13,0.01572113156429948,0.9842137675713726,6.510086432797842e-05,0.0004028962585661146,0.0003082752227783203,0.0003972053527832031,0.0005137920379638672
2064,5.4025433273508656e-09,8.79442817125103e-11,5.3142583314489835e-09,3.4071418937215874e-13,0.01627831122932127,0.9836586232534349,6.306551724393625e-05,0.00040189625157250296,0.0003056526184082031,0.00039696693420410156,0.0005137920379638672
2065,5.516067190735247e-09,9.287048645507448e-11,5.422860733884636e-09,3.3597039553704365e-13,0.016836358812136874,0.983102733591215,6.090759664808606e-05,0.00040092621909247503,0.0003032684326171875,0.00039696693420410156,0.0005137920379638672
2066,5.62617865884047e-09,9.794953286913887e-11,5.52789558036867e-09,3.3354560266026835e-13,0.017409602291109223,0.9825311131353132,5.9284573577514264e-05,0.00039998618761698403,0.0003006458282470703,0.000396728515625,0.0005140304565429688
2067,5.73320566909486e-09,1.0304117472164031e-10,5.629832137219076e-09,3.323571541437154e-13,0.017972698114963687,0.9819693313231332,5.797056190314325e-05,0.0003990743690066867,0.0002980232238769531,0.00039649009704589844,0.0005140304565429688
2068,5.837030358165408e-09,1.0833719537907255e-10,5.728364547823932e-09,3.286149624020456e-13,0.01856032755209503,0.9813833741348521,5.629831305268901e-05,0.00039819125334421794,0.0002956390380859375,0.0003962516784667969,0.0005142688751220703
2069,5.938069228342174e-09,1.1365762569848363e-10,5.824086630923375e-09,3.2497172031542973e-13,0.019140501959121696,0.9808047712083308,5.472683254758168e-05,0.00039733809894985624,0.0002932548522949219,0.0003960728645324707,0.0005142688751220703
2070,6.03663613128587e-09,1.1909648934828573e-10,5.917218698731417e-09,3.209432061676463e-13,0.019728949494081376,0.9802178846037195,5.316590219912457e-05,0.0003965157402886285,0.00029087066650390625,0.00039577484130859375,0.0005145192146301259
2071,6.132302670746489e-09,1.246259020707668e-10,6.00735951292319e-09,3.172557525330276e-13,0.02032285566485191,0.9796254091600326,5.173517511561572e-05,0.0003957190646065606,0.0002884864807128906,0.0003955364227294922,0.0005147457122802734
2072,6.226052982446607e-09,1.3022695981271222e-10,6.0955129475042884e-09,3.130751296069961e-13,0.02091645544614975,0.9790332598661855,5.0284687664827616e-05,0.00039495340320799084,0.00028634071350097656,0.00039505958557128906,0.000514984130859375
2073,6.317666093644226e-09,1.3591766931962693e-10,6.181438062415587e-09,3.103619090122973e-13,0.021513905183492436,0.9784369687778072,4.912603870035665e-05,0.00039421474271350435,0.0002841949462890625,0.00039458274841308594,0.0005152225494384766
2074,6.4078730023262315e-09,1.416905524953659e-10,6.265877384360038e-09,3.0506547082714643e-13,0.02211194766873944,0.9778404444166348,4.760791462571112e-05,0.0003935042752159966,0.00028228759765625,0.0003943443298339844,0.0005156993865966797
2075,6.4959809043566945e-09,1.4755396912653675e-10,6.348125249837441e-09,3.0168539271673804e-13,0.022714655615378415,0.977238902531242,4.644185337958815e-05,0.0003928182522455851,0.00028014183044433594,0.00039386749267578125,0.0005159378051757812
2076,6.5824153943753115e-09,1.5353816520792934e-10,6.428578994380722e-09,2.9823478666070604e-13,0.023325505306020042,0.9766291868899609,4.530780401910647e-05,0.0003921601110034519,0.00027823448181152344,0.00039315223693847656,0.0005164146423339844
