name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.5656928211064208,1.0261773794924207,1.6800169643900456,1.0589751976074115,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-3.6891586250152604,-3.4792576699226627,-3.255699694433129,-3.476883238032736,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.12057661075511777,0.1509278322972746,0.18315493788037127,0.15130293682302767,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.25028479929587916,0.3348033893409864,0.46310398979732026,0.34258733085437404,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-2.1826663852445334,-1.5189619652241104,-0.9221657998360078,-1.5296577584623505,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-2.7640657133308792,-2.611482723628522,-2.454979463654991,-2.6099049710565017,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.6000934199754331,0.7291648455169802,0.8612746128584071,0.729263464409942,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,2.067082823907869,2.627581967626903,3.190852838639294,2.630175588013152,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,1.3474985713503953,1.4689788222497155,1.6674559777349216,1.4829688485981312,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,20.74593361105764,33.31101085222504,40.80888090406056,32.37247121502771,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.010065356490468505,0.21136239908690502,0.396510975495235,0.20830462280522397,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-0.0506190529574533,0.06724561466254095,0.19951859993970947,0.0705782186987998,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.03289102017253528,0.054751081018263,0.07677814055949493,0.05480341406040992,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.7480547479010888,1.0265023510443099,1.3178663563627804,1.0294940261257108,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,8.32594615256145,10.779721569450306,13.065168807175905,10.748692066386893,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,748.177689511853,779.9542425965617,811.2264127918404,779.9449505320007,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.0005889717441178899,0.00062929860670925,0.00067435913305617,0.0006303677343648542,Bed slope,–
ais_iceflow0,39,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.7566823002398823,1.062474667355385,1.4909025251732684,1.0844996841972045,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,40,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-1.7626099374529978,-1.6435752236777468,-1.268410181869593,-1.601488577412324,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,41,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-26.085571922761194,-17.866045580295804,-17.625493316986052,-19.40227603355368,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,42,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,51.694473660501295,74.61409191092395,109.79320589586008,76.84593501893174,Runoff-line slope c,m °C⁻¹
sd_ais,43,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.010981409241337595,0.013835775332404,0.01714971515473324,0.013907163814211435,"AR(1) innovation sd, Antarctica",cm
rho_ais,44,noise,,,0.0,0.9,"flat on [0, 0.9)","AR(1) lag-1 autocorrelation of the ais residual; 0.9 is a hard bound (--rho-max=, default 0.99)",ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.8381324768123957,0.8853548909293429,0.8989090755065384,0.8791590068233083,"AR(1) autocorrelation, Antarctica",–
sd_gsic,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.01200889902190103,0.01669862478192055,0.022157171052545662,0.016855224229741447,"AR(1) innovation sd, glaciers",cm
rho_gsic,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.15432977694880692,0.5935724523565715,0.9380955291594653,0.5786393948970412,"AR(1) autocorrelation, glaciers",–
sd_gis,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.021877753675140818,0.02549536989645145,0.029768729700485386,0.02560866970101174,"AR(1) innovation sd, Greenland",cm
rho_gis,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.8441998658437978,0.9608819975454643,0.9878232228586348,0.9446154625749237,"AR(1) autocorrelation, Greenland",–
sd_steric,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.08945068589725969,0.1011319927066138,0.11471236033155811,0.10152312585012065,"AR(1) innovation sd, thermal expansion",cm
rho_steric,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.8552614612025837,0.9409128113198506,0.9831668672329825,0.9331760308263767,"AR(1) autocorrelation, thermal expansion",–
